date,comment,1_num,1_score,2_num,2_score,3_num,3_score,4_num,4_score,5_num,5_score,6_num,6_score,7_num,7_score,8_num,8_score
2023-08-29,108.0,1.0,0.563728566326531,2.0,-1.097924132241194,0.0,0.0,0.0,0.0,1.0,0.4916,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-30,276.0,2.0,0.03793337185329365,1.0,0.4279326115311908,1.0,0.7135357081632655,0.0,0.0,3.0,-0.6135666388888934,0.0,0.0,1.0,0.695949980000002,0.0,0.0
2023-08-31,343.0,0.0,0.0,2.0,-0.6215665927111304,3.0,1.1064764948817745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,221.0,0.0,0.0,0.0,0.0,1.0,0.08020719387754377,1.0,-0.664549750000125,0.0,0.0,2.0,1.050999119199754,0.0,0.0,0.0,0.0
2023-09-02,835.0,2.0,-0.673318854144592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49715,1.0,0.49715,1.0,0.5169891294896031
2023-09-03,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26458335185184984,0.0,0.0,1.0,0.6646166527777789,0.0,0.0
2023-09-04,234.0,0.0,0.0,0.0,0.0,1.0,0.6350636239669433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4415454586776856,1.0,0.6005956474480153
2023-09-05,2047.0,2.0,0.23364996955000392,2.0,-1.2022535695267542,1.0,0.42412143367346905,0.0,0.0,1.0,-0.28595,6.0,3.0451611012654336,0.0,0.0,2.0,0.8087833888888705
2023-09-06,510.0,0.0,0.0,1.0,-0.9840998750000312,0.0,0.0,0.0,0.0,1.0,0.816931789256201,0.0,0.0,1.0,0.6799499964000001,2.0,1.141965141108051
2023-09-07,290.0,1.0,0.4954,0.0,0.0,3.0,0.7034165138272149,0.0,0.0,3.0,-0.35292774691358364,1.0,0.4545428583673469,0.0,0.0,0.0,0.0
2023-09-08,254.0,2.0,0.6134667129629563,0.0,0.0,3.0,0.7849981768373102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09,414.0,1.0,0.8491499825000008,0.0,0.0,1.0,0.34300000749999965,1.0,0.8491499825000008,1.0,0.8491499825000008,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10,618.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.522709522675737,1.0,-0.9330944197530877,2.0,1.3560499453125074,1.0,0.8786378673094586,0.0,0.0
2023-09-11,135.0,3.0,0.4210363760330568,1.0,0.05225004687499413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7945500533333217
2023-09-12,325.0,3.0,1.6051127280868507,1.0,-0.16868884567901715,1.0,0.7755277469135837,1.0,0.5968166388888935,5.0,1.914550003968257,1.0,0.4994,1.0,0.4994,0.0,0.0
2023-09-13,665.0,0.0,0.0,2.0,0.35290007555554537,1.0,0.4374454566115702,0.0,0.0,2.0,-0.5719,0.0,0.0,0.0,0.0,3.0,1.516296581810519
