,date,vader_score,dict_score
0,2023-07-31,0.868,-0.35999998560000057
1,2023-08-01,0.8847,0.49999997222222375
2,2023-08-02,-0.1159666666666667,-0.29708848413569167
3,2023-08-03,0.9918,0.2499999875000006
4,2023-08-04,0.36795,-0.16666644444456707
5,2023-08-06,0.9457,0.19999998000000202
6,2023-08-08,0.8021,-0.41666654513892
7,2023-08-09,0.92795,-0.13157894044321367
8,2023-08-10,0.97075,-0.03571429308389859
9,2023-08-12,0.9955,-0.037037035665294975
10,2023-08-14,0.8727333333333332,-0.0788744538706587
11,2023-08-16,0.09439999999999998,-0.19999988700003074
12,2023-08-17,0.9981,0.599999880000024
13,2023-08-18,0.37010000000000004,-0.13160173000281086
14,2023-08-22,0.3896,0.6760036510892057
15,2023-08-23,0.6124,-0.33333322222225925
16,2023-08-24,0.8909,-0.21428568367347375
17,2023-08-26,-0.6912,-0.6666666111111158
18,2023-08-28,0.3007,-0.4999999750000012
19,2023-09-01,0.9353,-0.0676691371473862
20,2023-09-04,0.9772,-0.4999999583333368
21,2023-09-05,0.9898,-0.03999999840000006
22,2023-09-06,-0.9682,-0.9999997500000625
23,2023-09-07,0.77115,0.6666664938272162
24,2023-09-08,0.9853000000000001,-0.40740737997256754
25,2023-09-09,0.9956,-0.05263157617728546
26,2023-09-11,0.92635,-0.27499995979167213
27,2023-09-12,0.78346,0.047273967136556606
28,2023-09-13,0.985425,-0.09965033415312563
29,2023-09-14,0.9968,0.3999999866666671
30,2023-09-15,0.9934,0.0
31,2023-09-16,0.9992,0.799999960000002
32,2023-09-18,0.9005,-0.04273503707356329
33,2023-09-19,-0.9742000000000001,-0.7804232422629566
34,2023-09-20,0.96945,-0.45210725984645084
35,2023-09-21,0.9164,-0.24999993750001562
36,2023-09-22,0.9287333333333333,-0.23254279610126713
37,2023-09-24,0.9946,-0.15789472853185638
38,2023-09-25,0.12975,-0.4646463051219947
39,2023-09-26,-0.01824999999999999,-0.24999998726851916
40,2023-09-27,0.9911,0.15384613708086933
41,2023-09-28,0.8402,-0.199999960000008
42,2023-09-29,0.00045000000000000595,-0.6208790828704287
43,2023-09-30,0.29836,-0.5580029925208072
44,2023-10-01,0.6222,-0.49999987500003124
45,2023-10-02,0.9576,-0.33333326884921627
46,2023-10-03,0.390575,-0.1366666646444385
47,2023-10-04,0.16208000000000003,-0.4607842155869825
48,2023-10-05,0.9959,-0.23809522675737013
49,2023-10-06,0.4118,-0.599999880000024
50,2023-10-08,0.9923500000000001,-0.016666643194448133
51,2023-10-09,0.44028,-0.0066666641664611505
52,2023-10-10,0.39202727272727267,-0.09041986939269665
53,2023-10-11,0.15846666666666667,-0.4092034046811095
54,2023-10-12,0.7172454545454545,-0.2553421852307021
55,2023-10-13,0.6445916666666667,-0.39606268737058575
56,2023-10-14,-0.43887777777777776,-0.675923546547502
57,2023-10-15,0.05243333333333333,-0.28968252464805444
58,2023-10-16,0.5024333333333334,-0.11432136053450513
59,2023-10-17,-0.3298666666666667,-0.02280716608025002
60,2023-10-18,0.8311714285714286,-0.03707151725702099
61,2023-10-19,0.7439199999999999,-0.007260844661147658
62,2023-10-20,0.7296058823529412,-0.11777074930185405
63,2023-10-21,0.24196,-0.1078787799571479
64,2023-10-22,0.78485,0.17251461145309704
65,2023-10-23,0.66688,-0.06412345891755832
66,2023-10-24,0.8337818181818182,0.12301208762667426
67,2023-10-25,0.46975,-0.09809668032929436
68,2023-10-26,0.7284777777777778,0.09713363658485975
69,2023-10-27,0.98852,0.17421567434937768
70,2023-10-28,0.6737500000000001,-0.20423180142598776
71,2023-10-30,0.9974,0.5999999700000015
