,date,vader_score,dict_score
0,2023-08-01,0.9220999999999999,0.012121212277318584
1,2023-08-02,0.8864,0.0
2,2023-08-04,0.99515,-0.05115089246538171
3,2023-08-07,0.9963,-0.06666666444444451
4,2023-08-08,0.96,-0.199999960000008
5,2023-08-10,0.9752,-0.1999999900000005
6,2023-08-13,0.9903,-0.16666665277777895
7,2023-08-14,0.9909,-0.35999998560000057
8,2023-08-16,0.99165,-0.009615388282790446
9,2023-08-18,0.6648,-0.4444444197530878
10,2023-08-21,0.8864,0.0
11,2023-08-25,0.9410499999999999,-0.21428569897959293
12,2023-08-26,0.9989,0.08333332986111125
13,2023-08-28,0.9509,0.05263157617728546
14,2023-08-30,0.6499,-0.33333322222225925
15,2023-08-31,0.9964,0.2222222098765439
16,2023-09-01,0.9888,-0.09090908677685969
17,2023-09-05,0.9457666666666666,-0.11111107407408642
18,2023-09-07,0.6798,0.9999998333333611
19,2023-09-08,0.9938,0.26315788088642733
20,2023-09-13,0.9579,-0.3043478128544429
21,2023-09-14,-0.704,0.0
22,2023-09-15,0.97615,0.14285713265306196
23,2023-09-17,0.2023,-0.9999990000010001
24,2023-09-20,-0.9872,-0.5789473379501401
25,2023-09-22,0.9978,-0.05882352595155729
26,2023-09-26,0.9966,-0.03999999840000006
27,2023-09-28,0.7920499999999999,-0.3662238869473492
28,2023-10-02,-0.28522,-0.23678178622061424
29,2023-10-03,0.94255,0.033333332222222255
30,2023-10-04,0.7044125,-0.1625543246266111
31,2023-10-05,0.44352,-0.4018822932728157
32,2023-10-06,0.19722499999999998,-0.39130427918243554
33,2023-10-07,0.8864,0.0
34,2023-10-08,0.9425,0.0
35,2023-10-09,0.462225,-0.11328724435535059
36,2023-10-10,0.9534142857142857,-0.13681570871523846
37,2023-10-11,0.8655166666666667,-0.2864388343590023
38,2023-10-12,0.34603333333333336,-0.24876439323165633
39,2023-10-13,0.5145571428571428,-0.13253443477141374
40,2023-10-14,-0.955,-0.4999999791666675
41,2023-10-15,0.948375,0.22777753864222255
42,2023-10-16,0.8718499999999999,-0.032352941192413116
43,2023-10-17,0.38011666666666666,-0.27943119446445835
44,2023-10-18,0.46765,-0.2619047113378785
45,2023-10-19,0.5270333333333334,-0.16805554384838053
46,2023-10-20,0.37435,-0.39006161291369273
47,2023-10-21,0.9504333333333334,-0.17777776716049445
48,2023-10-22,0.9444,-0.16666664814815021
49,2023-10-23,0.7692249999999999,-0.3020833104060084
50,2023-10-24,0.7523333333333334,-0.18840578890989323
51,2023-10-25,0.6198111111111112,-0.30710983653026946
52,2023-10-26,0.7846000000000001,-0.05128204930966477
53,2023-10-27,0.838,0.3190473645694113
54,2023-10-28,0.07107777777777778,-0.35393861194441867
55,2023-10-29,0.296975,-0.37708329233507487
56,2023-10-30,0.9926,0.05882352595155729
